🤠雷蒙影视直播,#genre#
雷蒙影视直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2024-11-20,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
央视,#genre#
CCTV1,http://183.155.254.220:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路1』
CCTV1,http://115.220.243.30:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路2』
CCTV1,http://115.230.188.101:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路3』
CCTV1,http:///rtp/239.254.96.96:8550$雷蒙影视•IPV4『线路4』
CCTV1,http://e2.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$雷蒙影视•IPV4『线路5』
CCTV1,http://60.164.229.62:4040/udp/239.255.30.101:8231$雷蒙影视•IPV4『线路6』
CCTV1,http://s.cdhongyuan.cn:4022/udp/239.93.0.184:5140$雷蒙影视•IPV4『线路7』
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$雷蒙影视•IPV4『线路8』
CCTV1,http://171.117.74.91:8085/rtp/226.0.2.153:9136$雷蒙影视•IPV4『线路9』
CCTV1,http://211.158.166.213:8888/udp/225.0.4.74:7980$雷蒙影视•IPV4『线路10』
CCTV1,http://117.87.147.134:3000/rtp/239.49.8.129:6000$雷蒙影视•IPV4『线路11』
CCTV1,http://139.196.151.191:5818/rtp/239.45.3.145:5140$雷蒙影视•IPV4『线路12』
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.8:5540$雷蒙影视•IPV4『线路13』
CCTV1,http://123.122.162.7:19999/rtp/239.3.1.1:8000$雷蒙影视•IPV4『线路14』
CCTV1,http://39.98.201.151:9090/udp/225.1.8.1:8008$雷蒙影视•IPV4『线路15』
CCTV1,http://113.251.226.86:8003/rtp/235.254.198.51:1480$雷蒙影视•IPV4『线路16』
CCTV1,http://27.11.49.235:8004/udp/225.0.4.74:7980$雷蒙影视•IPV4『线路17』
CCTV1,http://123.113.14.115:8012/rtp/239.3.1.129:8008$雷蒙影视•IPV4『线路18』
CCTV1,http://116.226.24.123:8881/udp/239.45.3.145:5140$雷蒙影视•IPV4『线路19』
CCTV1,http://222.95.92.12:4000/rtp/239.49.8.129:6000$雷蒙影视•IPV4『线路20』
CCTV1,http://27.11.49.235:8005/udp/225.0.4.74:7980$雷蒙影视•IPV4『线路21』
CCTV1,http://60.7.56.33:4000/rtp/239.253.92.83:8012$雷蒙影视•IPV4『线路22』
CCTV1,http://218.241.192.50:8808/rtp/239.3.1.129:8008$雷蒙影视•IPV4『线路23』
CCTV1,http://39.98.201.151:9090/udp/225.1.8.101:8080$雷蒙影视•IPV4『线路24』
CCTV1,http://220.173.254.216:6666/udp/239.81.0.13:4056$雷蒙影视•IPV4『线路25』
CCTV1,http://171.116.226.246:8082/rtp/226.0.2.153:9136$雷蒙影视•IPV4『线路26』
CCTV1,http://59.51.113.18:18888/udp/239.76.253.151:9000$雷蒙影视•IPV4『线路27』
CCTV1,http://113.100.72.190:8899/udp/239.77.1.17:5146$雷蒙影视•IPV4『线路28』
CCTV1,http://1.203.77.72:7788/udp/225.1.8.101:8080$雷蒙影视•IPV4『线路29』
CCTV1,http://27.11.57.219:8007/udp/225.0.4.74:7980$雷蒙影视•IPV4『线路30』
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.150:5540$雷蒙影视•IPV4『线路31』
CCTV1,http://27.10.209.95:8007/udp/225.0.4.74:7980$雷蒙影视•IPV4『线路32』
